title,platform,Score,release_year
A-Train,PlayStation,6,1996
Adidas Power Soccer,PlayStation,7,1996
Advanced Dungeons & Dragons: Iron & Blood -- Warriors of Ravenloft,PlayStation,4,1996
Agile Warrior F-111X,PlayStation,2,1996
Air Combat,PlayStation,7,1996
Alien Trilogy,PlayStation,8,1996
Alone in the Dark: One Eyed Jack's Revenge,PlayStation,6,1996
Andretti Racing,PlayStation,8,1996
Aquanaut's Holiday,PlayStation,8,1996
Assault Rigs,PlayStation,6,1996
Baku Baku,Saturn,7,1996
Batman Forever: The Arcade Game,PlayStation,5,1996
Battle Arena Toshinden,PlayStation,7,1996
Battle Arena Toshinden 2,PlayStation,6,1996
Battle Arena Toshinden Remix,Saturn,5,1996
Beyond The Beyond,PlayStation,4,1996
Bogey Dead 6,PlayStation,6,1996
Bottom of the 9th,PlayStation,8,1996
Bust-A-Move 2: Arcade Edition,PlayStation,8,1996
Casper -- A Haunting 3D Challenge,PlayStation,4,1996
Cool Boarders,PlayStation,7,1996
Crash Bandicoot,PlayStation,8,1996
Creature Shock (Special Edition),PlayStation,2,1996
Cruis'n USA,Nintendo 64,4,1996
Cyber Sled,PlayStation,5,1996
CyberSpeed,PlayStation,5,1996
D,PlayStation,7,1996
Darkstalkers: The Night Warriors,PlayStation,7,1996
DEFCON 5,PlayStation,7,1996
Descent,PlayStation,7,1996
Destruction Derby,PlayStation,7,1996
Destruction Derby 2,PlayStation,7,1996
Die Hard Trilogy,PlayStation,8,1996
Die Hard Trilogy,PlayStation,8,1996
Discworld,PlayStation,7,1996
Discworld,PlayStation,7,1996
Doom (1993),PlayStation,7,1996
Epidemic,PlayStation,4,1996
ESPN Extreme Games,PlayStation,5,1996
Fade to Black,PlayStation,7,1996
FIFA Soccer '96,PlayStation,8,1996
Formula 1,PlayStation,8,1996
Frank Thomas: Big Hurt Baseball,PC,6,1996
Gex,PlayStation,6,1996
Goal Storm,PlayStation,7,1996
Gunship,PlayStation,3,1996
HardBall 5,PlayStation,4,1996
In the Hunt,PlayStation,3,1996
International Track & Field,PlayStation,7,1996
Johnny Bazookatone,PlayStation,5,1996
Jumping Flash! 2,PlayStation,8,1996
Kileak: The DNA Imperative,PlayStation,3,1996
Killer Instinct Gold,Nintendo 64,7,1996
Loaded,PlayStation,8,1996
Magic Carpet,PlayStation,8,1996
MLB Pennant Race,PlayStation,5,1996
Mortal Kombat Trilogy,PlayStation,6,1996
Mortal Kombat Trilogy,Nintendo 64,4,1996
Namco Museum Vol. 1,PlayStation,8,1996
